,Name,Code,ICAO
747,Empire Aviation,,MJE
748,Empresa Publica de Transporte Aereo Militar,,EPT
749,Empyreal Jet,,RLJ
750,ENAC Ecole Aviation Civile,,NAK
751,Encore Air Cargo,,DKT
752,Endeavor Air,9E,EDV
753,Enter Air,E4,ENT
754,Envoy,MQ,ENY
755,Epic Flight Academy,,EPI
756,Epsilon Aviation,,GRV
757,Era Helicopters,,ERH
758,Estafeta,E7,ESF
759,Estelar,ES,ETR
760,Estonia - Air Force,,EEF
761,Eswatini Air,RN,SZL
762,ETF Airways,LI,EZZ
763,Ethiopian Airlines,ET,ETH
764,Etihad Airways,EY,ETD
765,Euro Link,,EUL
766,Euro-Asia Air,5B,EAK
767,EuroAtlantic Airways,YU,MMZ
768,Eurocopter Deutschland,,RDF
769,European Air Charter,H6,BUC
770,European Air Transport,QY,BCS
771,European Cargo,SE,URO
772,European Flight Academy,,PTO
773,European Flight Service,,EUW
774,European Flyers,,FYS
775,European SAO,,EKT
776,Eurowings,EW,EWG
777,Eurowings Europe,E6,EWL
778,EVA Air,BR,EVA
779,Everts Air Alaska,5V,VTS
780,EWA Air,ZD,EWR
781,Excellent Air,,ECA
782,Exclusive Aviation,,REE
783,Execuflight,,EFT
784,Execujet Middle East,,EJO
785,Execujet Scandinavia,,VMP
786,Executive Airlink,,ENK
787,Executive Jet Charter,,EXJ
788,Executive Jet Management,,EJM
789,Exploits Valley Air Services,8K,EVS
790,Express Air Cargo,7A,XRC
791,Express Freighters Australia,QE,EFA
792,ExpressJet Airlines,XE,BTA
793,Exxaero,,XRO
794,Eznis Airways,MG,EZA
795,Ezy Airlines,,EZT
796,FAI rent-a-jet,,IFA
797,Falcon Aviation Services,,FVS
798,Fanjet Express,,FJE
799,Farmingdale State University,,FDL
800,Fast Air,,PBR
801,Fastjet,FN,FJW
802,FedEx,FX,FDX
803,Fenix Air Charter,,FNX
804,Feuerwehr-Flugdienst Niedersachsen,,FFD
805,Fiji Airways,FJ,FJI
806,Fiji Link,,FJA
807,Finistair,,FTR
808,Finland - Air Force,,FNF
809,Finland - Border Guard,,FNG
810,Finnair,AY,FIN
811,FinnHEMS,,FIH
812,Firefly,FY,FFM
813,First Air,7F,FAB
814,First Nation Airways,,FRN
815,FitsAir,8D,EXV
816,Flair Airlines,F8,FLE
817,Fleet Air International,,FRF
818,Flexflight,W2,FXT
819,Flexjet,,LXJ
820,Flexjet Europe,,FLJ
821,Flexjet Operations Malta,,FJO
822,Flight Calibration Services,,FCK
823,Flight Calibration Services,,VOR
824,Flight Choice,,FCE
825,Flight options,,OPT
826,Flight Training Europe,,AYR
827,FlightExec,,FEX
828,Flightline,,FTL
829,Flightlink,YS,FLZ
830,Flightpath Charter Airways,,KNT
831,Flightworks,,FWK
832,Florida Air Cargo,,FAS
833,Florida Flyers Flight Academy,,FFY
834,Fltplan,,DCM
835,Flugfelag Islands,NY,FXI
836,Fly 7,,FSF
837,Fly Across,,ACW
838,Fly Air41,,BER
839,Fly AllWays,8W,EDR
840,Fly ALS,,ALW
841,Fly Angola,EQ,FLA
842,Fly Armenia Airways,VF,FBB
843,Fly Art,,FLB
844,Fly Baghdad,IF,FBA
845,Fly Jet KZ,,FJK
846,Fly Oya,YI,OYA
847,Fly Pro,FP,PVV
848,Fly Sky Airlines,,FSQ
849,Fly Sky Airlines,,FSU
850,Fly Tyrol,,FTY
851,Fly Yemen Airlines,,FYO
852,Fly-Coop Air Service,,FCA
853,Fly2Sky,F6,VAW
854,Fly4 Airlines,,FFA
855,Fly540,5H,FFV
856,Fly91,IC,GOA
857,Flyadeal,F3,FAD
858,FlyBig,S9,FLG
859,Flybondi,FO,FBZ
860,FlyDubai,FZ,FDB
861,FlyEgypt,FT,FEG
862,flyExclusive,,JRE
863,FlyGTA Airlines,SX,TOR
864,Flying Business Aviation,,FBX
865,Flying Service,,FYG
866,Flyinggroup,,FYL
867,FlyJinnah,9P,FJL
868,Flylili,FL,LIL
869,FlyMe,VP,VQI
870,FlyMontserrat,5M,MNT
871,FlyNamibia,WV,FLN
872,Flynas,XY,KNE
873,FlyOne,5F,FIA
874,FlyOne Armenia,3F,FIE
875,FlyOne Romania,OE,FOE
876,FlyPelican,FP,FRE
877,FlySafair,FA,SFR
878,FlySchool,,FSM
879,FlyWales,,PYN
880,Fort Aero,,FRX
881,Four Corners Aviation,,ULA
882,FR Aviation,,FRA
883,France - Air Force,,FAF
884,France - Air Forces Command,,CTM
885,France - Army,,FMY
886,France - Customs,,FDO
887,France - Navy,,FNY
888,France - Securite Civile,,FRU
889,Franconia Air Service,,FRC
890,Freebird Airlines,FH,FHY
891,Freebird Airlines Europe,MI,FHM
892,Freedom Airline Express,4F,FDT
893,Freedom Airline Express,4K,SMK
894,Freight Runners Express,,FRG
895,French Bee,BF,FBU
896,Frontier,F9,FFT
897,FROST Air,,FRO
898,FTL Airlines,C0,FGO
899,Fuji Dream Airlines,JH,FDA
900,Fuzhou Airlines,FU,FZA
901,FX TerraDynamics,,FTX
902,GainJet,,GNJ
903,Galistair Infinite Aviation,8S,GTR
904,Gama Aviation,,GMA
905,Gama Aviation Cayman,,GKY
906,Gama Aviation UAE,,GSH
907,Garuda Indonesia,GA,GIA
908,Gazpromavia,4G,GZP
909,Gelix Airlines,,GAI
910,Gelix Airlines,,GLX
911,General Atomic AeroTech Systems,,DOR
912,Genex,,GNX
913,Genghis Khan Airlines,9D,NMG
914,Georgian Airlines,GH,IGT
915,Georgian Airways,A9,TGZ
916,Georgian Aviation University,,AUG
917,Geosky,D4,GEL
918,German Airways,ZQ,GER
919,Germanwings,4U,GWI
920,Germany - Air Ambulance,,CHX
921,Germany - Air Force,,GAF
922,Germany - Army,,GAM
923,Germany - DLR Flugbetriebe,,LFO
924,Germany - Navy,,GNY
925,Gesellschaft Fur Flugzieldarstellung,,GFD
926,Gestair,,GES
927,Gestair Aviation Malta,,GSM
928,Getjet Airlines,GW,GJT
929,Getjet Airlines Latvia,,DML
930,Ghadames Air Transport,NJ,GMS
931,Ghana - Air Force,,GHF
932,Global Air Charters,,GJE
933,Global Air Transport,5S,GAK
934,Global Airways,,GBL
935,Global Aviation,,MSS
936,Global Aviation Burkina Faso,,GBF
937,Global Jet Austria,,GLJ
938,Global Jet Luxembourg,,SVW
939,Global Reach Aviation,,GAV
940,Global Supply Systems,,GSS
941,Global Wings,,GWW
942,Global X,G6,GXA
943,GlobeAir,,GAC
944,Go First,G8,GOW
945,Go Jet Aviation,,GYS
946,Go2Sky,6G,RLX
947,GoJet ,G7,GJS
948,GOL Linhas Aereas,G3,GLO
949,Goldeck Flug,,GDK
950,Gouvernement du Quebec,,QUE
951,GP Aviation,IV,GPX
952,Grafair,,GFM
953,Grand Canyon Airlines,YR,CVU
954,Grand China Air,CN,GDC
955,Grant Aviation,GV,GUN
956,Greater Bay Airlines,HB,HGB
957,Greece - Air Force,,HAF
958,Greece - Army,,HLA
959,Greece - Navy,,HNA
960,Green Africa Airways,Q9,GWG
961,Greybird Aviation,,GAG
962,Gryphon Air,,GRG
963,GTA Air,,GTX
964,Gulf Air,GF,GFA
965,Gulf and Caribbean Cargo,IF,TSU
966,Gulf Wings,,GWC
967,GullivAir,G2,GBG
968,Gum Air,,GUM
969,Guna Airlines,,GUA
970,GX Airlines,GX,CBG
971,Hahn Air,HR,HHN
972,Hai Au Aviation,,HAI
973,Hainan Airlines,HU,CHH
974,Hala Air,HG,HTP
975,Halla Airlines,,HGA
976,Hangar 8,,HGR
977,Hanseo University,,HSF
978,Harmony Jets,,HMJ
979,Haute Aviation,,BOM
980,Haute Aviation,,HUE
981,Hawaiian Airlines,HA,HAL
982,Hebei Airlines,NS,HBH
983,Heli Air Monaco,YO,MCM
984,Heli Air Services,,HLR
985,Heli Holland,,HHE
986,Heli Securite,,HLI
987,Heli Service International,,HSO
988,Héli-Union,,HLU
989,Helicol,,HEL
990,Helijet International,,JBA
991,Helistar,,HTS
992,Helistar,,HSR
993,Helitrans,,HDR
994,HELITY Copter Airlines,,HTY
995,Hello Jets,H3,HLJ
996,Helvetic Airways,2L,OAW
997,Hera Flight,,HER
998,Hermes Airlines,H3,HRM
999,Heron Aviation,,HRN
1000,Heston Airlines,HN,HST
1001,Hi Fly,5K,HFY
1002,Hi Fly Malta,3L,HFM
1003,Hibernian Airlines,HG,HBN
1004,Himalaya Airlines,H9,HIM
1005,Hinterland Aviation,OI,HND
1006,HiSky,H7,HYM
1007,HiSky Europe,H4,HYS
1008,HK express,UO,HKE
1009,HNV Cote d'Ivoire,,HNZ
1010,Hokkaido Air System,,NTH
1011,Holiday Europe,5Q,HES
1012,Hong Kong - Government Flying Service,,GFS
1013,Hong Kong Air Cargo,RH,HKC
1014,Hong Kong Airlines,HX,CRK
1015,Hop-A-Jet,,HPJ
1016,Horizon Air,QX,QXE
1017,HTM Helicopter Travel Munich,,HTM
1018,Hummingbird Aviation,,ETI
1019,Humo Air,HJ,USW
1020,Hungary - Air Force,,HUF
1021,Hunnu Air,MR,MML
1022,Hydro Quebec,0Q,HYD
1023,Hyperion Aviation,,HYP
1024,I-Fly,F7,RSY
1025,I-Fly Air,,IFY
1026,iAero Airways,WQ,SWQ
1027,IAS Medical,,MDI
1028,IASCO Flight Training,,MMY
1029,IBC Airways,II,CSQ
1030,Iberia,IB,IBE
1031,Iberia Express,I2,IBS
1032,Iberojet,E9,EVE
1033,Ibex Airlines,FW,IBX
1034,Ibom Air,QI,IAN
1035,Icar Air,,RAC
1036,Iceland - Coast Guard,,ICG
1037,Icelandair,FI,ICE
1038,ICS-Aero,,ICF
1039,IFL Group,,IFL
1040,Ikar,EO,KAR
1041,Image Air Charter,,BMG
1042,ImperialJet,,JTI
1043,India - Air Force,,IFC
1044,Indiana State University,,ISU
1045,IndiaOne Air,I7,IOA
1046,IndiGo,6E,IGO
1047,Indonesia AirAsia,QZ,AWQ
1048,Initium Aviation,,INI
1049,Inner Mongolia Express,,IME
1050,iNTAIRLINE,,ITI
1051,Intel Air Shuttle,,HGT
1052,InterCaribbean Airways,JY,IWY
1053,InterJet West,K8,IJW
1054,International Committee of the Red Cross,,RED
1055,International Jet Management,,IJM
1056,InterSky,3L,ISK
1057,IrAero,IO,IAE
1058,Iran Air,IR,IRA
1059,Iran Airtour,B9,IRB
1060,Iran Aseman Airlines,EP,IRC
1061,Iraq Gate Company,,IGC
1062,Iraqi Airways,IA,IAW
1063,IRS Airlines,,LVB
1064,Island Wings,,IWL
1065,Israir Airlines,6H,ISR
1066,ITA Airways,AZ,ITY
1067,Italfly,,ITL
1068,Italy - Air Force,,IAM
1069,Italy - Army,,IEI
1070,Italy - Coast Guard,,GCI
1071,Italy - Navy,,MMI
1072,iXAir,,IXR
1073,Izhavia,I8,IZA
1074,JA Air Charter,,LTD
1075,Jackson Demolition Service,,JDS
1076,Jambojet,JM,JMA
1077,Japan Air Commuter,JC,JAC
1078,Japan Airlines,JL,JAL
1079,Japan Transocean Air,NU,JTA
1080,Jayawijaya Dirgantara,,JWD
1081,Jazeera Airways,J9,JZR
1082,Jazz Aviation,QK,JZA
1083,JC Bamford Excavators,,JCB
1084,Jeju Air,7C,JJA
1085,Jet Airways,9W,JAI
1086,Jet Asia Airways,JF,JAA
1087,Jet Aviation Business Jets,PP,PJS
1088,Jet Aviation Business Jets Deutschland,,JBD
1089,Jet Aviation Flight Services,,JAS
1090,Jet Charter,N2,JCT
1091,Jet Concierge Club,,JCO
1092,Jet Edge,,EDG
1093,Jet Executive,,JEI
1094,Jet Fly Airline,,JFL
1095,Jet It,,JIT
1096,Jet Linx Aviation,JL,JTL
1097,Jet Logistics,,JLG
1098,Jet Net Services,,JNS
1099,Jet OUT,,CRE
1100,Jet Sky Airways,,JTK
1101,Jet Story,,JDI
1102,Jet Test International,,JTN
1103,Jet View,,JVW
1104,Jet2,LS,EXS
1105,Jetair Caribbean,4J,JRC
1106,Jetbee Czech,,JBC
1107,JetBlue Airways,B6,JBU
1108,Jetcall,,JCL
1109,Jetclub,0J,JCS
1110,Jetconnect,,QNZ
1111,JetFlite,,JEF
1112,Jetfly Aviation,,JFA
1113,JetHouse,,JTH
1114,Jetkontor,,JKH
1115,Jetlines,AU,CJL
1116,JetLite,S2,JLL
1117,JetNetherlands,,JNL
1118,JetNEXA,,JNX
1119,Jetology,,JTY
1120,JetRight,,JRT
1121,JetSMART,JA,JAT
1122,JetSMART Argentina,WJ,JES
1123,JetSMART Peru,JZ,JAP
1124,Jetspremier,,JPM
1125,Jetstar,JQ,JST
1126,Jetstar Asia,3K,JSA
1127,Jetstar Japan,GK,JJP
1128,JetStream,,JSH
1129,JetStream Charter,,VTB
1130,Jetsuite Air,,RSP
1131,Jettime,JP,JTD
1132,Jetways Airlines,WU,JWX
1133,Jhonlin Air Transport,,JLB
1134,Jiangsu Jingdong Cargo Airlines,JG,JDL
1135,Jiangxi Air,RY,CJX
1136,Jiangxi Express Commuter Aviation,,KXA
1137,Jin Air,LJ,JNA
1138,Jinxiang Airlines,,JXX
1139,Jivair,,JIV
1140,JoinJet,,JNJ
1141,Jonair,,JON
1142,Jonika,,JNK
1143,Jordan - Air Force,,RJZ
1144,Jordan Aviation,R5,JAV
1145,Jordan International Air Cargo,,JCI
1146,JoyAir,JR,JOY
1147,JS Aviation,,JSM
1148,JSX,XE,JSX
1149,Jubba Airways,3J,JBW
1150,Jump Air,,JUP
1151,Juneyao Air,HO,DKH
1152,Jung Sky,,JSY
1153,K-Mile Air,8K,KMI
1154,K5-Aviation Germany,,KAY
1155,KaiserAir,,KAI
1156,Kalitta Air,K4,CKS
1157,Kalitta Charters,K9,KFS
1158,Kalitta Charters II,K5,KII
1159,Kam Air,RQ,KMF
1160,Kamaka Air,,KMK
1161,Kan Air,K8,KND
1162,Kartika Airlines,3Y,KAE
1163,Karun Airlines,,KRU
1164,KD Air,,KDC
1165,Keewatin Air,FK,KEW
1166,Kelowna Flightcraft Air,FK,KFA
1167,Kenai Aviation,,KNW
1168,Kenmore Air,M5,KEN
1169,Kenn Borek Air,4K,KBA
1170,Kent State University,,KSF
1171,Kenya Airways,KQ,KQA
1172,Key Air,,KEY
1173,Key Lime Air,KG,LYM
1174,Keystone Air Service,,KEE
1175,KhabAvia,,KHF
1176,Kingfisher Air,,BEZ
1177,Kish Air,,KIS
1178,KlasJet,,KLJ
1179,KLM,KL,KLM
1180,KLM Cityhopper,WA,KLC
1181,KM Malta Airlines,,KMM
1182,KN Helicopters,,SHW
1183,Komiaviatrans,KO,KMA
1184,Korea Aerospace University,,HGD
1185,Korea Aviation College,,KAG
1186,Korea National University of Transportation,,KTU
1187,Korean Air,KE,KAL
1188,Kosmos Airlines,,KSM
1189,Krasavia,KV,SSJ
1190,Kudlik Aviation,,KUK
1191,Kunming Airlines,KY,KNA
1192,Kuwait Airways,KU,KAC
1193,Kyungwoon University,,WCD
1194,L.J. Aviation,,LJY
1195,L3Harris Airline Academy,,LFA
1196,La Compagnie,B0,DJT
1197,La Costena,LC,NIS
1198,Labcorp,,SKQ
1199,LADE,5U,LDE
1200,LAM,TM,LAM
1201,Lanmei Airlines,LQ,MKR
1202,Lao Airlines,QV,LAO
1203,Lao Skyway,LK,LLL
1204,LAS Cargo,4L,LAU
1205,Laser Airlines,QL,LER
1206,LATAM Airlines,LA,LAN
1207,LATAM Brasil,JJ,TAM
1208,LATAM Cargo,UC,LCO
1209,LATAM Cargo Brasil,M3,LTG
1210,LATAM Cargo Colombia,L7,LAE
1211,LATAM Chile,LU,LXP
1212,LATAM Colombia,4C,ARE
1213,LATAM Ecuador,XL,LNE
1214,LATAM Paraguay,PZ,LAP
1215,LATAM Peru,LP,LPE
1216,Latvia - Air Force,,LAF
1217,Lauda Europe,LW,LDA
1218,Leader,,LSA
1219,LEAV Aviation,KK,NGN
1220,Legacy Airways,,LGF
1221,Legend Airlines,LZ,LAL
1222,Legends Airways,,DVY
1223,LIAT,LI,LIA
1224,Libya - Air Force,,LBF
1225,Libyan Airlines,LN,LAA
1226,Libyan Express,,LXX
1227,Libyan Wings,YL,LWA
1228,Liebherr Aerospace,,LHB
1229,Life Line Aviation,,LLK
1230,Lift,GE,GBB
1231,Limitless Airways,,LIM
1232,Lion Air,JT,LNI
1233,Lion Helicopters,,LHE
1234,Lipican Aer,8I,LIP
1235,Lithuania - Air Force,,LYF
1236,Liz Aviation,L0,LAZ
1237,LLC H3Operations,,UHO
1238,Loganair,LM,LOG
1239,Lone Star Aviators,,BST
1240,LongJiang Airlines,LT,SNG
1241,Longtail Aviation,6T,LGT
1242,Loong Air,GJ,CDC
1243,LOT,LO,LOT
1244,Lucky Air,8L,LKE
1245,Lufthansa,LH,DLH
1246,Lufthansa Cargo,,GEC
1247,Lufthansa CityLine,CL,CLH
1248,Lufttransport,,LTR
1249,Lumiwings,L9,LWI
1250,Lunds Universitet,,UNY
1251,Luxair,LG,LGL
1252,Luxaviation,,LXA
1253,Luxaviation Belgium,,AAB
1254,Luxaviation E.A,,LMJ
1255,Luxaviation Germany,,LXG
1256,Luxaviation UK,,LNX
1257,Luxembourg Air Ambulance,,LRQ
1258,Luxwing,BN,LWG
1259,Lydd Air,,LYD
1260,Lynden Air Cargo,L2,LYC
1261,MAE Aircraft Management,MA,MEN
1262,Maersk Air Cargo,DJ,SRR
1263,Magnicharters,UJ,GMT
1264,Mahan Air,W5,IRM
1265,Makers Air,,WMA
1266,Malawi Airlines,3W,MWI
1267,Malaysia - Air Force,,RMF
1268,Malaysia Airlines,MH,MAS
1269,Maldivian,Q2,DQA
1270,Maleth-Aero,DB,MLT
1271,Mali Air,,MAE
1272,Malta Air,,MAY
1273,Malta MedAir,MT,MMO
1274,Manasik Aviation,XN,MNM
1275,Mandarin Airlines,AE,MDA
1276,Mann Yadanarpon Airlines,7Y,MYP
1277,Manta Air,NR,MAV
1278,Map Linhas Aereas,7M,PAM
1279,Marabu,DI,MBU
1280,Marathon Airlines,O8,MTO
1281,Martinair Holland,MP,MPH
1282,Martinaire,,MRA
1283,mas,M7,MAA
1284,Massey University School of Aviation,,MSY
1285,MASwings,MY,MWG
1286,Mater Logistics,,TKH
1287,Mauritania Airlines International,L6,MAI
1288,Mavi Gok Airlines,4M,MGH
1289,Max Air,VM,NGL
1290,Max Aviation,,MAX
1291,Maxair,,NTW
1292,Maximus Airlines,6M,MXM
1293,Maya Island Air,2M,MYD
1294,MAYAir,7M,MYI
1295,McCall Aviation,,MKL
1296,McNeely Charter Services,,MDS
1297,MEA,ME,MEA
1298,Med-Trans,,MEK
1299,Medavia,,MDM
1300,Medsky Airways,BM,MNS
1301,Mel Air,5M,MDO
1302,Meraj Airlines,,MRJ
1303,Mercury Air Cargo,4X,MEC
1304,Meridian,,MEM
1305,Meridian Air Company,,MMM
1306,Mesa Airlines,YV,ASH
1307,Mexicana,,MXA
1308,Mexicana,,MEX
1309,Mexico - Air Force,,FAM
1310,Mexico - Government,,MXG
1311,Mexico - Navy,,ANX
1312,MHS Aviation,M2,MHV
1313,Miami Air Lease,,MGD
1314,MIAT Mongolian Airlines,OM,MGL
1315,Mid Africa Aviation,,MFG
1316,Midamerica Jet,,MJR
1317,Middle Georgia State University,,NIT
1318,Middle Tennessee State University,,MTU
1319,Midwest Aviation,,DZR
1320,Midwest Aviation Division,,MWT
1321,Millesime Aviation,,MIM
1322,Mingalar,K7,KBZ
1323,MJet,,MJF
1324,MNG Airlines,MB,MNB
1325,Moalem Aviation,,AMA
1326,Moçambique Expresso,,MXE
1327,Modern Logistics,WD,MWM
1328,Monacair,QM,MCR
1329,Mongolian Airways,XF,MGW
1330,Morningstar Air Express,,MAL
1331,Motor Sich Airlines,M9,MSI
1332,Mount Cook Airline,NM,NZM
1333,Mountain Air Cargo,,MTN
1334,Mountain Aviation,,FTH
1335,Mountain Flyers,,MFB
1336,Move,,MVE
1337,Multiflight,,MFT
1338,My Freighter,C6,MFX
1339,My Indo Airlines,2Y,MYU
1340,My Jet,,MYJ
1341,My Jet Saver,,MJS
1342,MY Jet Xpress Airlines,N7,NEP
1343,Myanmar Airways International,8M,MMA
1344,Myanmar National Airlines,UB,UBA
1345,MyWay Airlines,MJ,MYW
1346,Naljets,,APX
1347,Nam Air,IN,LKN
1348,Namibia - Defence Force,,NDF
1349,Nantucket Airlines,,ACK
1350,National Air Charters,JY,JYA
1351,National Airlines,N8,NCR
1352,National Airways,9Y,NAE
1353,National Airways Corporation,,NTN
1354,National Jet Express,NC,JTE
1355,National Jet Systems,,QJE
1356,NATO,,OAN
1357,Nauru Airlines,ON,RON
1358,Naysa,ZN,NAY
1359,Neojets,,NJZ
1360,Neos,NO,NOS
1361,Nepal Airlines,RA,RNA
1362,Nesma Airlines,NE,NMA
1363,Netherlands - Coast Guard,,NCG
1364,Netherlands - Navy,,NRN
1365,Netherlands - Royal Air Force,,NAF
1366,NetJets,,EJA
1367,NetJets Europe,,NJE
1368,Netjets UK,,NJU
1369,Network Aviation,,NWK
1370,New England Airlines,EJ,NEA
1371,New England Patriots,,UDG
1372,New Pacific Airlines,7H,RVF
1373,New Way Cargo Airlines,NU,NWY
1374,New Zealand - Royal New Zealand Air Force,,KIW
1375,NG Eagle,2N,XLE
1376,NHC Northern Helicopter,,NHC
1377,NHV,,NHD
1378,NHV Helicopters,,NHZ
1379,Nicholas Air,,JTZ
1380,Niger Airlines,6N,NIN
1381,Nigeria - Air Force,,NGR
1382,Nile Air,NP,NIA
1383,Nippon Cargo Airlines,KZ,NCA
1384,Nok Air,DD,NOK
1385,Nolinor Aviation,N5,NRL
1386,Nomad Aviation,,NUM
1387,Nomadic Aviation,,OMD
1388,Noordzee Helikopters Vlaanderen,,NHX
1389,Nordic Unmanned,,NOU
1390,Nordica,ND,NDA
1391,NordStar,Y7,TYA
1392,Nordwind Airlines,N4,NWS
1393,Norlandair,,FNA
1394,NORRA,N7,FCM
1395,Norse,N0,NBT
1396,Norse UK,Z0,UBT
1397,Norsk Luftambulanse,,DOC
1398,North Cariboo Air,,NCB
1399,North Central,,NCJ
1400,North Flying,,NFA
1401,North Pole Parcel Service,,R3D
1402,North Star Aviation,,MVK
1403,North-West Air Company,0E,NWC
1404,North-Western Cargo International Airlines,CO,CNW
1405,North-Wright Airways,HW,NWL
1406,Northeastern Aviation Corporation,,NEW
1407,Northern Air,,NLI
1408,Northern Air Cargo,NC,NAC
1409,Northern Jet Management,,NJM
1410,Northern Thunderbird Air,,NTA
1411,Northway Aviation,,NAL
1412,Northwest Flyers,,NWF
1413,Northwestern Air,J3,PLR
1414,Norway - Air Force,,NOW
1415,Norwegian,DY,NOZ
1416,Norwegian Air Sweden,D8,NSZ
1417,Nouvelair Tunisie,BJ,LBT
1418,Nova Airways,,NOV
1419,Novair,NG,NAI
1420,NovaJet,,NOJ
1421,Novoair,VQ,NVQ
1422,Nxt Jet,,KPO
1423,Nyxair,OJ,NYX
1424,Offshore Helicopter Services,,ULR
1425,Ohio State University,,OSU
1426,OK Aviation,,NTF
1427,Okay Airways,BK,OKA
1428,Oklahoma State University,,OST
1429,Olympic Air,OA,OAL
1430,Olympus Airways,,OLY
1431,Oman - Royal Air Force,,MJN
1432,Oman Air,WY,OMA
1433,Omni Air International,OY,OAE
1434,Omni Air Transport,,DRL
1435,Omni Aviation,,OAV
1436,Omni Taxi Aereo,,OMI
1437,One Air,HC,HGO
1438,One Airways,OX,OEW
1439,Orbest,6O,OBS
1440,Orenburzhye,O7,ORG
1441,Oriental Air Bridge,OC,ORC
1442,Origin Air,OG,OGN
1443,Ornge Air,,PUL
1444,Ortac,,ORT
1445,Oscar Jet,,OSJ
1446,OSM Aviation Academy,,SCQ
1447,OTT Airlines,JF,OTT
1448,Overland Airways,OF,OLA
1449,Owenair,,OWE
1450,Oxford Aviation Academy,,OXF
1451,Oyonnair,,OYO
1452,P80 Air,,PMG
1453,Paccair,,WIS
1454,Pacific Airlines,BL,PIC
1455,Pacific Coast Jet,,PXT
1456,Pacific Coastal Airlines,8P,PCO
1457,PADAviation,,PVD
1458,Pakistan International Airlines,PK,PIA
1459,PAL Aerospace,,SPR
1460,PAL Airlines,PB,PVL
1461,PAL Express,2P,GAP
1462,Palau Express Airlines,P9,PXC
1463,Palau National Airlines,4L,PNA
1464,Pan American Airways,PN,PAA
1465,Pan Europeenne,,EUP
1466,Pan Europeenne Air Service,,PEA
1467,Panaviatic,,VPC
1468,Panellenic Airlines,,RJB
